# WuchangRecon navprobe
# center 18142.33 5609.49 -1550.33  grid 41x41  step 100.0 uu  extent 100/100/500
# level ProjectMain  hits 1252/1681
x,y,z,hit,projx,projy,projz
19142.33,3609.49,-1550.33,1,19200.00,3609.49,-2047.45
19242.33,3609.49,-1550.33,0,,,
19342.33,3609.49,-1550.33,1,19410.00,3700.00,-1627.49
19442.33,3609.49,-1550.33,1,19484.31,3657.48,-1627.49
19542.33,3609.49,-1550.33,1,19542.33,3609.49,-1627.49
19642.33,3609.49,-1550.33,1,19620.94,3584.39,-1627.49
19742.33,3609.49,-1550.33,1,19678.89,3535.02,-1627.49
19842.33,3609.49,-1550.33,0,,,
19942.33,3609.49,-1550.33,0,,,
20042.33,3609.49,-1550.33,0,,,
20142.33,3609.49,-1550.33,0,,,
16142.33,3709.49,-1550.33,0,,,
16242.33,3709.49,-1550.33,1,16340.00,3680.00,-1545.53
16342.33,3709.49,-1550.33,1,16353.66,3686.83,-1545.53
16442.33,3709.49,-1550.33,1,16390.00,3660.00,-1545.53
16542.33,3709.49,-1550.33,1,16542.33,3709.49,-1872.97
16642.33,3709.49,-1550.33,1,16642.33,3709.49,-1885.09
16742.33,3709.49,-1550.33,1,16742.33,3709.49,-1871.15
16842.33,3709.49,-1550.33,1,16842.33,3709.49,-1843.57
16942.33,3709.49,-1550.33,1,16908.70,3715.24,-1825.53
17042.33,3709.49,-1550.33,1,17042.33,3709.49,-1745.53
17142.33,3709.49,-1550.33,1,17085.91,3765.91,-1745.53
17242.33,3709.49,-1550.33,1,17230.00,3670.00,-1825.53
17342.33,3709.49,-1550.33,1,17430.00,3709.49,-1505.53
17442.33,3709.49,-1550.33,1,17442.33,3709.49,-1505.53
17542.33,3709.49,-1550.33,1,17548.67,3709.92,-1585.53
17642.33,3709.49,-1550.33,1,17642.33,3709.49,-1585.53
17742.33,3709.49,-1550.33,1,17708.66,3703.26,-1585.53
17842.33,3709.49,-1550.33,0,,,
17942.33,3709.49,-1550.33,0,,,
18042.33,3709.49,-1550.33,0,,,
18142.33,3709.49,-1550.33,0,,,
18242.33,3709.49,-1550.33,0,,,
18342.33,3709.49,-1550.33,0,,,
18442.33,3709.49,-1550.33,0,,,
18542.33,3709.49,-1550.33,0,,,
18642.33,3709.49,-1550.33,0,,,
18742.33,3709.49,-1550.33,1,18821.21,3745.35,-2025.53
18842.33,3709.49,-1550.33,1,18842.33,3709.49,-2026.44
18942.33,3709.49,-1550.33,1,18942.33,3709.49,-2045.41
19042.33,3709.49,-1550.33,0,,,
19142.33,3709.49,-1550.33,0,,,
19242.33,3709.49,-1550.33,0,,,
19342.33,3709.49,-1550.33,1,19410.00,3700.00,-1627.49
19442.33,3709.49,-1550.33,1,19442.33,3709.49,-1627.49
19542.33,3709.49,-1550.33,1,19513.62,3675.80,-1627.49
19642.33,3709.49,-1550.33,1,19571.57,3626.44,-1627.49
19742.33,3709.49,-1550.33,0,,,
19842.33,3709.49,-1550.33,0,,,
19942.33,3709.49,-1550.33,0,,,
20042.33,3709.49,-1550.33,0,,,
20142.33,3709.49,-1550.33,0,,,
16142.33,3809.49,-1550.33,0,,,
16242.33,3809.49,-1550.33,0,,,
16342.33,3809.49,-1550.33,1,16360.00,3840.00,-1545.53
16442.33,3809.49,-1550.33,1,16480.00,3809.49,-1905.53
16542.33,3809.49,-1550.33,1,16542.33,3809.49,-1905.53
16642.33,3809.49,-1550.33,1,16642.33,3809.49,-1900.52
16742.33,3809.49,-1550.33,1,16742.33,3809.49,-1875.86
16842.33,3809.49,-1550.33,1,16842.33,3809.49,-1848.28
16942.33,3809.49,-1550.33,1,16925.29,3812.40,-1825.53
17042.33,3809.49,-1550.33,1,17042.33,3809.49,-1745.53
17142.33,3809.49,-1550.33,1,17110.00,3809.49,-1745.53
17242.33,3809.49,-1550.33,0,,,
17342.33,3809.49,-1550.33,1,17436.49,3785.95,-1505.53
17442.33,3809.49,-1550.33,1,17442.33,3800.00,-1505.53
17542.33,3809.49,-1550.33,1,17542.33,3809.49,-1585.53
17642.33,3809.49,-1550.33,1,17642.33,3809.49,-1585.53
17742.33,3809.49,-1550.33,1,17707.05,3813.42,-1585.53
17842.33,3809.49,-1550.33,1,17780.00,3860.00,-1585.53
17942.33,3809.49,-1550.33,0,,,
18042.33,3809.49,-1550.33,0,,,
18142.33,3809.49,-1550.33,0,,,
18242.33,3809.49,-1550.33,0,,,
18342.33,3809.49,-1550.33,0,,,
18442.33,3809.49,-1550.33,0,,,
18542.33,3809.49,-1550.33,0,,,
18642.33,3809.49,-1550.33,0,,,
18742.33,3809.49,-1550.33,1,18814.18,3799.23,-2042.23
18842.33,3809.49,-1550.33,0,,,
18942.33,3809.49,-1550.33,0,,,
19042.33,3809.49,-1550.33,0,,,
19142.33,3809.49,-1550.33,0,,,
19242.33,3809.49,-1550.33,0,,,
19342.33,3809.49,-1550.33,1,19400.00,3840.00,-1707.49
19442.33,3809.49,-1550.33,1,19430.00,3840.00,-1707.49
19542.33,3809.49,-1550.33,0,,,
19642.33,3809.49,-1550.33,0,,,
19742.33,3809.49,-1550.33,0,,,
19842.33,3809.49,-1550.33,0,,,
19942.33,3809.49,-1550.33,0,,,
20042.33,3809.49,-1550.33,0,,,
20142.33,3809.49,-1550.33,0,,,
16142.33,3909.49,-1550.33,0,,,
16242.33,3909.49,-1550.33,0,,,
16342.33,3909.49,-1550.33,1,16380.00,3860.00,-1585.53
16442.33,3909.49,-1550.33,1,16471.91,3912.78,-1937.88
16542.33,3909.49,-1550.33,1,16542.33,3909.49,-1932.11
16642.33,3909.49,-1550.33,1,16642.33,3909.49,-1909.09
16742.33,3909.49,-1550.33,1,16742.33,3909.49,-1862.15
16842.33,3909.49,-1550.33,1,16842.33,3909.49,-1847.57
16942.33,3909.49,-1550.33,1,16942.33,3909.49,-1834.18
17042.33,3909.49,-1550.33,1,17047.44,3908.19,-1745.53
17142.33,3909.49,-1550.33,1,17110.00,3909.49,-1759.43
17242.33,3909.49,-1550.33,0,,,
17342.33,3909.49,-1550.33,0,,,
17442.33,3909.49,-1550.33,1,17470.00,3909.49,-1585.53
17542.33,3909.49,-1550.33,1,17542.33,3909.49,-1588.28
17642.33,3909.49,-1550.33,1,17642.33,3909.49,-1591.53
17742.33,3909.49,-1550.33,1,17742.33,3909.49,-1585.53
17842.33,3909.49,-1550.33,1,17799.67,3907.64,-1585.53
17942.33,3909.49,-1550.33,0,,,
18042.33,3909.49,-1550.33,0,,,
18142.33,3909.49,-1550.33,0,,,
18242.33,3909.49,-1550.33,0,,,
18342.33,3909.49,-1550.33,0,,,
18442.33,3909.49,-1550.33,0,,,
18542.33,3909.49,-1550.33,0,,,
18642.33,3909.49,-1550.33,0,,,
18742.33,3909.49,-1550.33,0,,,
18842.33,3909.49,-1550.33,0,,,
18942.33,3909.49,-1550.33,0,,,
19042.33,3909.49,-1550.33,0,,,
19142.33,3909.49,-1550.33,0,,,
19242.33,3909.49,-1550.33,0,,,
19342.33,3909.49,-1550.33,1,19395.45,3912.82,-1707.49
19442.33,3909.49,-1550.33,1,19430.00,3909.49,-1707.49
19542.33,3909.49,-1550.33,0,,,
19642.33,3909.49,-1550.33,0,,,
19742.33,3909.49,-1550.33,0,,,
19842.33,3909.49,-1550.33,1,19930.00,3970.00,-1827.49
19942.33,3909.49,-1550.33,1,19942.33,3970.00,-1827.49
20042.33,3909.49,-1550.33,1,20042.33,3970.00,-1827.49
20142.33,3909.49,-1550.33,1,20142.33,3970.00,-1827.49
16142.33,4009.49,-1550.33,0,,,
16242.33,4009.49,-1550.33,0,,,
16342.33,4009.49,-1550.33,0,,,
16442.33,4009.49,-1550.33,1,16495.42,4005.07,-1945.53
16542.33,4009.49,-1550.33,1,16542.33,4009.49,-1944.42
16642.33,4009.49,-1550.33,1,16642.33,4009.49,-1916.11
16742.33,4009.49,-1550.33,1,16742.33,4009.49,-1875.38
16842.33,4009.49,-1550.33,1,16842.33,4009.49,-1862.41
16942.33,4009.49,-1550.33,1,16942.33,4009.49,-1849.01
17042.33,4009.49,-1550.33,1,17071.45,4002.04,-1745.53
17142.33,4009.49,-1550.33,1,17110.00,4009.49,-1779.43
17242.33,4009.49,-1550.33,1,17230.14,4020.16,-1625.53
17342.33,4009.49,-1550.33,1,17273.50,4069.72,-1625.53
17442.33,4009.49,-1550.33,1,17492.35,3994.49,-1600.43
17542.33,4009.49,-1550.33,1,17542.33,4009.49,-1606.16
17642.33,4009.49,-1550.33,1,17642.33,4009.49,-1603.71
17742.33,4009.49,-1550.33,1,17742.33,4009.49,-1586.08
17842.33,4009.49,-1550.33,1,17795.33,4007.45,-1585.53
17942.33,4009.49,-1550.33,0,,,
18042.33,4009.49,-1550.33,0,,,
18142.33,4009.49,-1550.33,0,,,
18242.33,4009.49,-1550.33,0,,,
18342.33,4009.49,-1550.33,0,,,
18442.33,4009.49,-1550.33,0,,,
18542.33,4009.49,-1550.33,0,,,
18642.33,4009.49,-1550.33,0,,,
18742.33,4009.49,-1550.33,0,,,
18842.33,4009.49,-1550.33,0,,,
18942.33,4009.49,-1550.33,0,,,
19042.33,4009.49,-1550.33,0,,,
19142.33,4009.49,-1550.33,0,,,
19242.33,4009.49,-1550.33,0,,,
19342.33,4009.49,-1550.33,1,19390.00,4009.49,-1707.49
19442.33,4009.49,-1550.33,1,19427.55,4008.88,-1707.49
19542.33,4009.49,-1550.33,0,,,
19642.33,4009.49,-1550.33,0,,,
19742.33,4009.49,-1550.33,0,,,
19842.33,4009.49,-1550.33,1,19930.00,4009.49,-1827.49
19942.33,4009.49,-1550.33,1,19942.33,4009.49,-1827.49
20042.33,4009.49,-1550.33,1,20042.33,4009.49,-1827.49
20142.33,4009.49,-1550.33,1,20142.33,4009.49,-1827.49
16142.33,4109.49,-1550.33,0,,,
16242.33,4109.49,-1550.33,0,,,
16342.33,4109.49,-1550.33,1,16370.00,4140.00,-1385.53
16442.33,4109.49,-1550.33,1,16500.00,4060.00,-1945.53
16542.33,4109.49,-1550.33,1,16551.18,4153.76,-1905.53
16642.33,4109.49,-1550.33,1,16642.33,4109.49,-1923.13
16742.33,4109.49,-1550.33,1,16742.33,4109.49,-1889.61
16842.33,4109.49,-1550.33,1,16842.33,4109.49,-1876.76
16942.33,4109.49,-1550.33,1,16942.33,4109.49,-1863.85
17042.33,4109.49,-1550.33,1,17007.54,4119.16,-1856.55
17142.33,4109.49,-1550.33,1,17140.00,4110.00,-1785.53
17242.33,4109.49,-1550.33,1,17242.33,4109.49,-1625.53
17342.33,4109.49,-1550.33,1,17305.70,4119.96,-1625.53
17442.33,4109.49,-1550.33,1,17519.87,4086.23,-1618.77
17542.33,4109.49,-1550.33,1,17542.33,4109.49,-1623.16
17642.33,4109.49,-1550.33,1,17642.33,4109.49,-1605.53
17742.33,4109.49,-1550.33,1,17742.33,4109.49,-1587.90
17842.33,4109.49,-1550.33,1,17790.99,4107.26,-1585.53
17942.33,4109.49,-1550.33,0,,,
18042.33,4109.49,-1550.33,0,,,
18142.33,4109.49,-1550.33,0,,,
18242.33,4109.49,-1550.33,0,,,
18342.33,4109.49,-1550.33,0,,,
18442.33,4109.49,-1550.33,0,,,
18542.33,4109.49,-1550.33,0,,,
18642.33,4109.49,-1550.33,0,,,
18742.33,4109.49,-1550.33,0,,,
18842.33,4109.49,-1550.33,0,,,
18942.33,4109.49,-1550.33,0,,,
19042.33,4109.49,-1550.33,0,,,
19142.33,4109.49,-1550.33,0,,,
19242.33,4109.49,-1550.33,0,,,
19342.33,4109.49,-1550.33,1,19390.00,4109.49,-1707.49
19442.33,4109.49,-1550.33,1,19423.39,4108.71,-1707.49
19542.33,4109.49,-1550.33,0,,,
19642.33,4109.49,-1550.33,0,,,
19742.33,4109.49,-1550.33,0,,,
19842.33,4109.49,-1550.33,1,19930.00,4109.49,-1827.49
19942.33,4109.49,-1550.33,1,19942.33,4109.49,-1827.49
20042.33,4109.49,-1550.33,1,20042.33,4109.49,-1827.49
20142.33,4109.49,-1550.33,1,20142.33,4109.49,-1827.49
16142.33,4209.49,-1550.33,1,16122.94,4267.65,-1750.23
16242.33,4209.49,-1550.33,1,16330.00,4230.00,-1425.53
16342.33,4209.49,-1550.33,1,16348.00,4218.00,-1425.53
16442.33,4209.49,-1550.33,1,16386.15,4220.73,-1417.82
16542.33,4209.49,-1550.33,1,16542.33,4209.49,-1905.53
16642.33,4209.49,-1550.33,1,16642.33,4209.49,-1930.15
16742.33,4209.49,-1550.33,1,16742.33,4209.49,-1903.84
16842.33,4209.49,-1550.33,1,16842.33,4209.49,-1890.99
16942.33,4209.49,-1550.33,1,16942.33,4209.49,-1878.15
17042.33,4209.49,-1550.33,1,17030.00,4209.49,-1865.53
17142.33,4209.49,-1550.33,1,17140.00,4209.49,-1760.65
17242.33,4209.49,-1550.33,1,17242.33,4209.49,-1625.53
17342.33,4209.49,-1550.33,1,17319.82,4170.10,-1625.53
17442.33,4209.49,-1550.33,1,17531.86,4207.59,-1625.53
17542.33,4209.49,-1550.33,1,17542.33,4209.49,-1625.53
17642.33,4209.49,-1550.33,1,17642.33,4209.49,-1620.42
17742.33,4209.49,-1550.33,1,17742.33,4209.49,-1593.17
17842.33,4209.49,-1550.33,1,17751.70,4215.54,-1592.34
17942.33,4209.49,-1550.33,0,,,
18042.33,4209.49,-1550.33,0,,,
18142.33,4209.49,-1550.33,0,,,
18242.33,4209.49,-1550.33,0,,,
18342.33,4209.49,-1550.33,0,,,
18442.33,4209.49,-1550.33,0,,,
18542.33,4209.49,-1550.33,0,,,
18642.33,4209.49,-1550.33,0,,,
18742.33,4209.49,-1550.33,0,,,
18842.33,4209.49,-1550.33,0,,,
18942.33,4209.49,-1550.33,0,,,
19042.33,4209.49,-1550.33,0,,,
19142.33,4209.49,-1550.33,1,19240.00,4300.00,-2027.49
19242.33,4209.49,-1550.33,1,19219.94,4214.76,-2047.55
19342.33,4209.49,-1550.33,1,19416.83,4181.56,-1707.49
19442.33,4209.49,-1550.33,1,19420.00,4190.00,-1707.49
19542.33,4209.49,-1550.33,0,,,
19642.33,4209.49,-1550.33,0,,,
19742.33,4209.49,-1550.33,0,,,
19842.33,4209.49,-1550.33,1,19930.00,4209.49,-1827.49
19942.33,4209.49,-1550.33,1,19942.33,4209.49,-1827.49
20042.33,4209.49,-1550.33,1,20042.33,4209.49,-1827.49
20142.33,4209.49,-1550.33,1,20142.33,4209.49,-1827.49
16142.33,4309.49,-1550.33,1,16130.00,4290.00,-1745.53
16242.33,4309.49,-1550.33,1,16270.00,4330.00,-1465.53
16342.33,4309.49,-1550.33,1,16330.10,4316.83,-1425.53
16442.33,4309.49,-1550.33,1,16500.00,4300.00,-1905.53
16542.33,4309.49,-1550.33,1,16542.33,4309.49,-1911.39
16642.33,4309.49,-1550.33,1,16642.33,4309.49,-1937.16
16742.33,4309.49,-1550.33,1,16742.33,4309.49,-1918.08
16842.33,4309.49,-1550.33,1,16842.33,4309.49,-1907.14
16942.33,4309.49,-1550.33,1,16942.33,4309.49,-1898.73
17042.33,4309.49,-1550.33,1,17040.02,4310.07,-1876.98
17142.33,4309.49,-1550.33,1,17140.00,4270.00,-1745.53
17242.33,4309.49,-1550.33,1,17230.00,4290.00,-1625.53
17342.33,4309.49,-1550.33,1,17290.00,4260.00,-1905.53
17442.33,4309.49,-1550.33,1,17533.99,4307.54,-1625.53
17542.33,4309.49,-1550.33,1,17542.33,4309.49,-1625.53
17642.33,4309.49,-1550.33,1,17642.33,4309.49,-1625.53
17742.33,4309.49,-1550.33,1,17742.33,4309.49,-1621.65
17842.33,4309.49,-1550.33,1,17758.34,4315.09,-1618.89
17942.33,4309.49,-1550.33,0,,,
18042.33,4309.49,-1550.33,0,,,
18142.33,4309.49,-1550.33,0,,,
18242.33,4309.49,-1550.33,0,,,
18342.33,4309.49,-1550.33,0,,,
18442.33,4309.49,-1550.33,0,,,
18542.33,4309.49,-1550.33,0,,,
18642.33,4309.49,-1550.33,0,,,
18742.33,4309.49,-1550.33,0,,,
18842.33,4309.49,-1550.33,0,,,
18942.33,4309.49,-1550.33,0,,,
19042.33,4309.49,-1550.33,0,,,
19142.33,4309.49,-1550.33,1,19236.99,4287.22,-2030.50
19242.33,4309.49,-1550.33,1,19242.33,4309.49,-2028.47
19342.33,4309.49,-1550.33,1,19280.00,4350.00,-2027.49
19442.33,4309.49,-1550.33,1,19400.00,4390.00,-1707.49
19542.33,4309.49,-1550.33,0,,,
19642.33,4309.49,-1550.33,0,,,
19742.33,4309.49,-1550.33,0,,,
19842.33,4309.49,-1550.33,1,19930.00,4309.49,-1827.49
19942.33,4309.49,-1550.33,1,19942.33,4309.49,-1827.49
20042.33,4309.49,-1550.33,1,20042.33,4309.49,-1827.49
20142.33,4309.49,-1550.33,1,20142.33,4309.49,-1827.49
16142.33,4409.49,-1550.33,0,,,
16242.33,4409.49,-1550.33,1,16288.97,4379.51,-1457.10
16342.33,4409.49,-1550.33,1,16341.69,4410.23,-1431.37
16442.33,4409.49,-1550.33,1,16482.03,4406.44,-1897.39
16542.33,4409.49,-1550.33,1,16542.33,4409.49,-1918.06
16642.33,4409.49,-1550.33,1,16642.33,4409.49,-1945.33
16742.33,4409.49,-1550.33,1,16742.33,4409.49,-1944.66
16842.33,4409.49,-1550.33,1,16842.33,4409.49,-1937.56
16942.33,4409.49,-1550.33,1,16942.33,4409.49,-1894.84
17042.33,4409.49,-1550.33,1,17042.33,4409.49,-1893.49
17142.33,4409.49,-1550.33,1,17069.43,4427.72,-1910.59
17242.33,4409.49,-1550.33,1,17270.00,4410.00,-1905.53
17342.33,4409.49,-1550.33,1,17342.33,4409.49,-1849.22
17442.33,4409.49,-1550.33,1,17373.02,4417.20,-1825.53
17542.33,4409.49,-1550.33,1,17542.33,4409.49,-1625.53
17642.33,4409.49,-1550.33,1,17642.33,4409.49,-1625.53
17742.33,4409.49,-1550.33,1,17742.33,4409.49,-1625.53
17842.33,4409.49,-1550.33,1,17755.33,4403.05,-1625.53
17942.33,4409.49,-1550.33,0,,,
18042.33,4409.49,-1550.33,0,,,
18142.33,4409.49,-1550.33,0,,,
18242.33,4409.49,-1550.33,0,,,
18342.33,4409.49,-1550.33,0,,,
18442.33,4409.49,-1550.33,0,,,
18542.33,4409.49,-1550.33,0,,,
18642.33,4409.49,-1550.33,0,,,
18742.33,4409.49,-1550.33,0,,,
18842.33,4409.49,-1550.33,0,,,
18942.33,4409.49,-1550.33,0,,,
19042.33,4409.49,-1550.33,0,,,
19142.33,4409.49,-1550.33,1,19200.00,4409.49,-2044.91
19242.33,4409.49,-1550.33,1,19242.33,4409.49,-2035.45
19342.33,4409.49,-1550.33,1,19364.38,4416.85,-1707.49
19442.33,4409.49,-1550.33,1,19400.00,4409.49,-1707.49
19542.33,4409.49,-1550.33,0,,,
19642.33,4409.49,-1550.33,0,,,
19742.33,4409.49,-1550.33,0,,,
19842.33,4409.49,-1550.33,1,19930.00,4409.49,-1827.49
19942.33,4409.49,-1550.33,1,19942.33,4409.49,-1827.49
20042.33,4409.49,-1550.33,1,20042.33,4409.49,-1827.49
20142.33,4409.49,-1550.33,1,20142.33,4409.49,-1827.49
16142.33,4509.49,-1550.33,0,,,
16242.33,4509.49,-1550.33,1,16290.00,4570.00,-1425.53
16342.33,4509.49,-1550.33,1,16360.00,4509.49,-1425.53
16442.33,4509.49,-1550.33,1,16410.00,4509.49,-1458.35
16542.33,4509.49,-1550.33,1,16542.33,4480.00,-1895.30
16642.33,4509.49,-1550.33,1,16688.13,4476.18,-1969.59
16742.33,4509.49,-1550.33,1,16742.33,4509.49,-1976.40
16842.33,4509.49,-1550.33,1,16842.33,4509.49,-1933.68
16942.33,4509.49,-1550.33,1,16942.33,4509.49,-1890.96
17042.33,4509.49,-1550.33,1,17042.33,4509.49,-1908.88
17142.33,4509.49,-1550.33,1,17092.96,4521.84,-1937.48
17242.33,4509.49,-1550.33,1,17242.33,4509.49,-1585.53
17342.33,4509.49,-1550.33,1,17342.33,4480.00,-1855.67
17442.33,4509.49,-1550.33,1,17380.00,4480.00,-1825.53
17542.33,4509.49,-1550.33,1,17542.33,4509.49,-1625.53
17642.33,4509.49,-1550.33,1,17642.33,4509.49,-1625.53
17742.33,4509.49,-1550.33,1,17742.33,4509.49,-1625.53
17842.33,4509.49,-1550.33,1,17747.96,4502.50,-1625.53
17942.33,4509.49,-1550.33,0,,,
18042.33,4509.49,-1550.33,0,,,
18142.33,4509.49,-1550.33,0,,,
18242.33,4509.49,-1550.33,0,,,
18342.33,4509.49,-1550.33,0,,,
18442.33,4509.49,-1550.33,0,,,
18542.33,4509.49,-1550.33,0,,,
18642.33,4509.49,-1550.33,0,,,
18742.33,4509.49,-1550.33,0,,,
18842.33,4509.49,-1550.33,0,,,
18942.33,4509.49,-1550.33,0,,,
19042.33,4509.49,-1550.33,0,,,
19142.33,4509.49,-1550.33,1,19200.00,4509.49,-2036.83
19242.33,4509.49,-1550.33,1,19242.33,4509.49,-2041.66
19342.33,4509.49,-1550.33,1,19360.00,4509.49,-1707.49
19442.33,4509.49,-1550.33,1,19400.00,4509.49,-1707.49
19542.33,4509.49,-1550.33,0,,,
19642.33,4509.49,-1550.33,0,,,
19742.33,4509.49,-1550.33,0,,,
19842.33,4509.49,-1550.33,1,19930.00,4509.49,-1827.49
19942.33,4509.49,-1550.33,1,19942.33,4509.49,-1827.49
20042.33,4509.49,-1550.33,1,20042.33,4509.49,-1827.49
20142.33,4509.49,-1550.33,1,20142.33,4509.49,-1827.49
16142.33,4609.49,-1550.33,0,,,
16242.33,4609.49,-1550.33,1,16272.41,4604.48,-1425.53
16342.33,4609.49,-1550.33,1,16342.33,4609.49,-1425.53
16442.33,4609.49,-1550.33,1,16410.00,4609.49,-1440.17
16542.33,4609.49,-1550.33,1,16530.00,4620.00,-1825.53
16642.33,4609.49,-1550.33,1,16690.00,4610.00,-1945.53
16742.33,4609.49,-1550.33,1,16760.91,4590.91,-1970.98
16842.33,4609.49,-1550.33,1,16842.33,4609.49,-1931.91
16942.33,4609.49,-1550.33,1,16942.33,4609.49,-1909.99
17042.33,4609.49,-1550.33,1,17042.33,4609.49,-1945.53
17142.33,4609.49,-1550.33,1,17110.79,4614.75,-1945.53
17242.33,4609.49,-1550.33,1,17260.00,4530.00,-1585.53
17342.33,4609.49,-1550.33,0,,,
17442.33,4609.49,-1550.33,1,17540.00,4590.00,-1625.53
17542.33,4609.49,-1550.33,1,17542.33,4590.00,-1625.53
17642.33,4609.49,-1550.33,1,17642.33,4609.49,-1625.53
17742.33,4609.49,-1550.33,1,17740.05,4609.33,-1625.53
17842.33,4609.49,-1550.33,0,,,
17942.33,4609.49,-1550.33,0,,,
18042.33,4609.49,-1550.33,0,,,
18142.33,4609.49,-1550.33,0,,,
18242.33,4609.49,-1550.33,0,,,
18342.33,4609.49,-1550.33,0,,,
18442.33,4609.49,-1550.33,0,,,
18542.33,4609.49,-1550.33,0,,,
18642.33,4609.49,-1550.33,0,,,
18742.33,4609.49,-1550.33,0,,,
18842.33,4609.49,-1550.33,0,,,
18942.33,4609.49,-1550.33,0,,,
19042.33,4609.49,-1550.33,0,,,
19142.33,4609.49,-1550.33,1,19200.00,4609.49,-2028.74
19242.33,4609.49,-1550.33,1,19242.33,4609.49,-2047.86
19342.33,4609.49,-1550.33,1,19360.00,4520.00,-1707.49
19442.33,4609.49,-1550.33,1,19400.00,4510.00,-1707.49
19542.33,4609.49,-1550.33,0,,,
19642.33,4609.49,-1550.33,0,,,
19742.33,4609.49,-1550.33,0,,,
19842.33,4609.49,-1550.33,1,19930.00,4609.49,-1827.49
19942.33,4609.49,-1550.33,1,19942.33,4609.49,-1827.49
20042.33,4609.49,-1550.33,1,20042.33,4609.49,-1827.49
20142.33,4609.49,-1550.33,1,20142.33,4609.49,-1827.49
16142.33,4709.49,-1550.33,0,,,
16242.33,4709.49,-1550.33,1,16300.00,4720.00,-1425.53
16342.33,4709.49,-1550.33,1,16342.33,4709.49,-1425.53
16442.33,4709.49,-1550.33,1,16407.64,4703.37,-1425.53
16542.33,4709.49,-1550.33,1,16521.25,4646.25,-1853.03
16642.33,4709.49,-1550.33,1,16664.67,4720.67,-1945.53
16742.33,4709.49,-1550.33,1,16766.42,4733.58,-1985.53
16842.33,4709.49,-1550.33,1,16842.33,4709.49,-1951.49
16942.33,4709.49,-1550.33,1,16942.33,4709.49,-1905.53
17042.33,4709.49,-1550.33,1,17042.33,4709.49,-1941.73
17142.33,4709.49,-1550.33,1,17120.00,4670.00,-1945.53
17242.33,4709.49,-1550.33,1,17240.89,4715.22,-1804.63
17342.33,4709.49,-1550.33,1,17340.00,4710.00,-1585.53
17442.33,4709.49,-1550.33,0,,,
17542.33,4709.49,-1550.33,1,17590.80,4707.24,-1625.53
17642.33,4709.49,-1550.33,1,17642.33,4709.49,-1625.53
17742.33,4709.49,-1550.33,1,17742.33,4709.49,-1625.53
17842.33,4709.49,-1550.33,1,17754.82,4721.16,-1625.53
17942.33,4709.49,-1550.33,0,,,
18042.33,4709.49,-1550.33,0,,,
18142.33,4709.49,-1550.33,0,,,
18242.33,4709.49,-1550.33,0,,,
18342.33,4709.49,-1550.33,0,,,
18442.33,4709.49,-1550.33,0,,,
18542.33,4709.49,-1550.33,0,,,
18642.33,4709.49,-1550.33,0,,,
18742.33,4709.49,-1550.33,0,,,
18842.33,4709.49,-1550.33,0,,,
18942.33,4709.49,-1550.33,0,,,
19042.33,4709.49,-1550.33,0,,,
19142.33,4709.49,-1550.33,1,19142.33,4709.49,-2044.67
19242.33,4709.49,-1550.33,1,19200.00,4709.49,-2039.18
19342.33,4709.49,-1550.33,1,19430.00,4770.00,-1587.49
19442.33,4709.49,-1550.33,1,19460.00,4750.00,-1587.49
